,代號,殖利率
0,1102,0.0558
1,1108,0.0502
2,1236,0.1389
3,1301,0.061300002
4,1303,0.053600002
5,1308,0.0627
6,1315,0.069299996
7,1338,0.056599997
8,1341,0.1902
9,1409,0.0637
10,1423,0.099
11,1434,0.067600004
12,1451,0.1034
13,1465,0.0559
14,1517,0.0561
15,1526,0.0641
16,1527,0.056199998
17,1531,0.0602
18,1537,0.0714
19,1539,0.101
20,1558,0.0558
21,1604,0.050300002
22,1708,0.09689999
23,1709,0.0921
24,1712,0.0722
25,1730,0.0531
26,1806,0.1105
27,1817,0.060399998
28,2006,0.061100002
29,2012,0.0648
30,2020,0.0531
31,2027,0.0655
32,2028,0.0699
33,2030,0.083100006
34,2034,0.059699997
35,2069,0.0629
36,2109,0.0692
37,2227,0.0547
38,2301,0.089099996
39,2303,0.0699
40,2337,0.0674
41,2342,0.063200004
42,2373,0.0641
43,2387,0.0545
44,2390,0.0692
45,2397,0.061300002
46,2409,0.1551
47,2414,0.0701
48,2420,0.0648
49,2430,0.059499998
50,2433,0.0678
51,2441,0.059
52,2450,0.051
53,2451,0.0626
54,2458,0.0698
55,2459,0.0543
56,2461,0.077
57,2474,0.070300005
58,2481,0.051999997
59,2484,0.064
60,2488,0.0546
61,2493,0.0557
62,2496,0.0647
63,2504,0.0525
64,2534,0.08140001
65,2535,0.1091
66,2545,0.1024
67,2548,0.0588
68,2597,0.0639
69,2603,0.3989
70,2606,0.0557
71,2609,0.45150003
72,2615,0.1125
73,2616,0.059699997
74,2617,0.063
75,2636,0.1376
76,2637,0.1083
77,2908,0.0623
78,3010,0.0545
79,3015,0.0654
80,3026,0.0519
81,3028,0.0828
82,3029,0.054899998
83,3030,0.0525
84,3033,0.096499994
85,3034,0.062800005
86,3040,0.0669
87,3042,0.0633
88,3047,0.0645
89,3048,0.0837
90,3056,0.1467
91,3090,0.093100004
92,3130,0.0592
93,3168,0.0795
94,3189,0.0655
95,3209,0.0991
96,3447,0.0692
97,3481,0.0987
98,3501,0.070199996
99,3528,0.0871
100,3557,0.132
101,3592,0.0868
102,3607,0.057800002
103,3679,0.0881
104,3703,0.0828
105,3711,0.0571
106,4155,0.0511
107,4306,0.052199997
108,4438,0.0615
109,4439,0.066700004
110,4440,0.1261
111,4536,0.0587
112,4551,0.0561
113,4557,0.0553
114,4560,0.059899997
115,4736,0.12810001
116,4919,0.056700002
117,4930,0.0637
118,4935,0.0795
119,4942,0.0554
120,4952,0.1033
121,4958,0.0519
122,4960,0.136
123,4961,0.0586
124,4999,0.052600004
125,5007,0.053600002
126,5225,0.062
127,5283,0.069299996
128,5285,0.0563
129,5519,0.0519
130,5522,0.060900003
131,5533,0.0515
132,5534,0.061300002
133,5538,0.063
134,5546,0.05
135,5608,0.0813
136,6024,0.0555
137,6115,0.061100002
138,6128,0.0627
139,6155,0.056799997
140,6168,0.0621
141,6176,0.0581
142,6184,0.0552
143,6202,0.0727
144,6206,0.0705
145,6215,0.0506
146,6257,0.056900002
147,6269,0.0552
148,6277,0.09689999
149,6278,0.067
150,6281,0.054
151,6438,0.0716
152,6456,0.061
153,6464,0.056999996
154,6525,0.0808
155,6591,0.0672
156,6606,0.0752
157,6641,0.089499995
158,6655,0.0504
159,6670,0.093
160,6706,0.0665
161,6754,0.0616
162,6768,0.0672
163,6776,0.0543
164,6792,0.0585
165,8016,0.0757
166,8021,0.0686
167,8039,0.0542
168,8046,0.089099996
169,8070,0.059
170,8081,0.052399997
171,8112,0.0579
172,8114,0.058000002
173,8131,0.0913
174,8213,0.0574
175,8215,0.0589
176,8249,0.0619
177,8261,0.0588
178,8341,0.0771
179,8367,0.056599997
180,8422,0.0558
181,8467,0.0956
182,8481,0.0747
183,8482,0.098400004
184,8499,0.12550001
185,9802,0.0652
186,9905,0.0502
187,9906,0.0617
188,9907,0.1035
189,9924,0.0539
190,9927,0.0531
191,9944,0.0521
